stimulus,memorability,scaled_memory_hits,X,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name
Mailbox_Community.jpg,-0.07788782876131824,0.20549513451631368,1694,0.146366029444319,1.30030587521566,1,0,0.285714285714286,0.487950036474267,0.25,0.462910049886276,1,0,0,human-made,NA,NA,0.655231560891938,3.383465189601647,mail boxes,0.16,1,0.8679245283018868
Makeup_Bag.jpg,-0.08732500469584836,0.18259874069834,497,-0.761463760313036,0.378081490117262,1,0,0,0,0.625,0.517549169506766,1,1,0,human-made,indoors,NA,0.0263007432818754,3.215841172683753,makeup bag,0.2631578947368421,1,0.8210405946255003
Makeup_Compact.jpg,0.02551979637744448,0.5792787635947338,685,-0.0970793199756836,0.924707823061425,1,0,0,0,0.833333333333333,0.408248290463863,1,1,1,human-made,indoors,smaller than a shoebox,0.511720983419097,2.2783518117113117,makeup,0.47058823529411764,0,0.48256146369353914
Makeup_Eyeshadow.jpg,-0.01954564903959027,0.39439038351459643,833,-0.0381934318701787,0.661879695213352,1,0,0,0,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.545454545454545,2.3920788329783202,makeup,0.3684210526315789,0,0.5265866209262435
Makeup_Foundation.jpg,0.07897589257046621,0.7790497996565541,1117,-0.576733987320223,0.198691602356477,1,0,0.111111111111111,0.333333333333333,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.120068610634648,3.01927430267679,makeup,0.3235294117647059,0,0.7718696397941681
Makeup_Mascara.jpg,-0.024634130584971436,0.37664567830566686,1695,-0.162178764767278,0.799569521462728,0.9,0.316227766016838,0,0,0.857142857142857,0.377964473009227,1,1,1,human-made,indoors,smaller than a shoebox,0.454545454545455,1.3372449392958772,mascara,0.7368421052631579,1,0.16123499142367068
Mallet.jpg,-0.15851064009546734,0.06868918145392101,1409,-0.490449534424237,0.659963156670396,1,0,0.428571428571429,0.534522483824849,0.777777777777778,0.440958551844098,1,0,0,human-made,NA,NA,0.184676958261864,1.9749375012019268,mallet,0.4444444444444444,1,0.37392795883361923
MalletJudge.jpg,0.10844994700734477,0.8614768174012593,1555,0.431440479325441,0.868560944662326,1,0,0.285714285714286,0.487950036474267,0.857142857142857,0.377964473009227,1,0,1,human-made,NA,smaller than a shoebox,0.807318467695826,1.61078454839968,gavel,0.6842105263157895,1,0.2367066895368782
Man.jpg,0.07468972512160983,0.7624499141385231,1696,-0.520552674349494,0.618938457840973,0.666666666666667,0.5,0,0,0.1,0.316227766016838,0,1,1,NA,indoors,larger than a shoebox,0.155517438536306,1.9447167900528528,man,0.6111111111111112,1,0.35506003430531735
Mango.jpg,-0.005247991165367522,0.45506582713222665,1118,-0.148242582491146,1.09973692603906,0,0,0.375,0.517549169506766,1,0,1,0,1,natural,NA,smaller than a shoebox,0.470554602630074,2.397334910352524,mango,0.3684210526315789,1,0.5323041738136077
ManholeCover.jpg,0.11802650400862191,0.886090440755581,204,-0.925332729603352,0.44623921243217,1,0,0.884615384615385,0.325812593608421,0.125,0.353553390593274,1,1,1,human-made,outdoors,larger than a shoebox,0.00686106346483705,2.8638263900908156,grate,0.2222222222222222,0,0.710691823899371
MannequinBust.jpg,0.07682955506063124,0.7704636519748139,1410,-0.0182453129568087,0.976098453536456,1,0,0,0,0.285714285714286,0.487950036474267,1,1,0,human-made,indoors,NA,0.563750714694111,3.794653473544342,dress form,0.16666666666666666,1,0.9576901086335049
MannequinHead.jpg,0.12598626694080864,0.9066971951917573,1272,0.509188040004634,1.06460163025368,1,0,0.142857142857143,0.377964473009227,0.142857142857143,0.377964473009227,1,1,1,human-made,indoors,larger than a shoebox,0.830188679245283,3.5249449750847117,wig,0.2777777777777778,1,0.9085191538021726
Maraca.jpg,-0.09479883161120796,0.1631368059530624,498,0.13852017966357,1.03975209904259,1,0,0,0,0.857142857142857,0.377964473009227,1,1,1,human-made,indoors,smaller than a shoebox,0.650657518582047,3.4104172527605194,maracas,0.17647058823529413,1,0.8787878787878788
Mask_African.jpg,0.01082028160083226,0.5180309101316543,1697,0.495127257787685,0.823470676930534,1,0,0.285714285714286,0.487950036474267,0.166666666666667,0.408248290463863,1,0,1,human-made,NA,larger than a shoebox,0.827901658090337,1.983740670882855,mask,0.631578947368421,0,0.3762149799885649
Mask_Buddhist.jpg,0.10126429603212538,0.8391528334287349,1556,0.659421218706713,1.05150521267745,1,0,0.444444444444444,0.52704627669473,0.2,0.421637021355784,1,0,0,human-made,NA,NA,0.873070325900515,1.4930089391424453,mask,0.7647058823529411,0,0.2086906803887936
Mask_CPR.jpg,-0.09915782833957414,0.15569547796222094,499,-0.741856040626538,0.372313408295646,1,0,0.375,0.517549169506766,0.25,0.462910049886276,1,0,0,human-made,NA,NA,0.0308747855917667,3.6421498816369042,air mask,0.15789473684210525,1,0.9342481417953116
Mask_Gas.jpg,0.033767404368733205,0.6119061247853463,993,0.463495006402401,2.13445159789896,1,0,0.875,0.353553390593274,0.2,0.421637021355784,1,1,0,human-made,outdoors,NA,0.819897084048027,1.3372449392958772,gas mask,0.7368421052631579,1,0.16123499142367068
Mask_Happy.jpg,0.04278348056695905,0.6496851745850029,1273,0.189637257272427,0.845985266506161,1,0,0.25,0.462910049886276,0.857142857142857,0.377964473009227,1,0,1,human-made,NA,smaller than a shoebox,0.684391080617496,0.8850672865827044,mask,0.8529411764705882,0,0.07661520869068039
Mask_HockeyGoalie.jpg,-0.002473247233782941,0.4676588437321122,500,0.358839843030027,1.0284566505277,1,0,0.666666666666667,0.516397779494322,0.111111111111111,0.333333333333333,1,0,1,human-made,NA,larger than a shoebox,0.78273299028016,2.8799649487271113,hockey mask,0.2777777777777778,1,0.7181246426529445
Mask_Masquerade.jpg,0.10992249211752689,0.8649112764739554,501,0.660357766423441,0.707442473228808,1,0,0.125,0.353553390593274,0.777777777777778,0.440958551844098,1,1,0,human-made,indoors,NA,0.874213836477987,2.3627402784989338,mask,0.5,0,0.5140080045740423
Mask_Ski.jpg,0.03667623792962659,0.6222095020034345,1411,-0.043804652693061,0.79905713101701,1,0,0.142857142857143,0.377964473009227,0.75,0.462910049886276,1,1,0,human-made,indoors,NA,0.537449971412236,2.4613201402110083,ski mask,0.4444444444444444,1,0.5494568324757004
