stimulus,memorability,scaled_memory_hits,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name
Backpack_Suitcase.jpg,-0.081598686,0.194046938,-0.073114772,0.786050375,1,0,0.666666667,0.5,0,0,1,0,1,human-made,NA,larger than a shoebox,0.523156089,2.846439345,backpack,0.3,0,0.142367067
Toys_Lego.jpg,0.13685432,0.92501431,-0.141244309,0.790259834,1,0,0.25,0.46291005,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.476272156,0.991251399,Lego,0.806451613,1,0.765008576
SpiderWeb.jpg,0.098765438,0.829421866,0.042403546,0.76022365,0.222222222,0.440958552,0.857142857,0.377964473,0.5,0.534522484,0,1,0,NA,outdoors,NA,0.598056032,1.021455466,spider web,0.736842105,1,0.758147513
Case_WoodenOrnate.jpg,0.059264271,0.70463652,0.569079976,0.965892046,0.888888889,0.333333333,0,0,0.714285714,0.487950036,1,1,0,human-made,indoors,NA,0.853630646,1.634695839,box,0.538461538,0,0.530588908
Clock_Interior.jpg,0.038438162,0.63136806,0.514504489,1.317517612,1,0,0.222222222,0.440958552,0.571428571,0.534522484,1,0,0,human-made,NA,NA,0.8324757,2.163890987,gears,0.541666667,1,0.339622642
Candy_Caramel.jpg,0.057070138,0.693760733,0.760012569,1.361071339,0.8,0.421637021,0.125,0.353553391,0.777777778,0.440958552,0,1,0,NA,indoors,NA,0.903373356,2.106603137,caramel,0.380952381,0,0.36535163
Shrub_Cedar.jpg,-6.06E-04,0.477389811,0.224720447,0.595956706,0.222222222,0.440958552,0.833333333,0.40824829,0.125,0.353553391,0,1,1,NA,outdoors,larger than a shoebox,0.706117782,2.754441846,plant,0.363636364,0,0.163522013
Lilypad.jpg,0.077292004,0.772753291,0.128011918,0.856353356,0.25,0.46291005,0.75,0.46291005,0.875,0.353553391,0,0,1,NA,NA,smaller than a shoebox,0.646083476,2.024726036,lily pad,0.5,1,0.393367639
Box_FirstAidOpen.jpg,0.082620022,0.787635947,-0.28529313,0.447168288,1,0,0.166666667,0.40824829,0.9,0.316227766,1,1,1,human-made,indoors,smaller than a shoebox,0.353916524,1.86382639,first aid kit,0.444444444,0,0.452830189
Makeup_Mascara.jpg,-0.024634131,0.376645678,-0.162178765,0.799569521,0.9,0.316227766,0,0,0.857142857,0.377964473,1,1,1,human-made,indoors,smaller than a shoebox,0.454545455,0.522978426,mascara,0.909090909,1,0.90051458
Crab.jpg,0.148009391,0.942759015,0.479376707,1.102022899,0,0,0.875,0.353553391,1,0,1,1,1,natural,outdoors,smaller than a shoebox,0.824471126,0.345117315,crab,0.935483871,1,0.94053745
Mat_Car.jpg,0.10511402,0.848883801,-0.445475319,0.313842523,1,0,0.285714286,0.487950036,0.428571429,0.534522484,1,0,0,human-made,NA,NA,0.227558605,2.746824814,floor mat,0.346153846,1,0.166952544
Pliers_SlipJoint.jpg,-0.121550226,0.119633658,-0.562403039,0.518168682,1,0,0.222222222,0.440958552,0.857142857,0.377964473,1,0,1,human-made,NA,smaller than a shoebox,0.133218982,1.084806355,pliers,0.772727273,0,0.735277301
